period,SPX.Index,CCMP.Index,VIX.Index,SKEW.Index,SX5E.Index,UKX.Index,NKY.Index,TY1.Comdty,JB1.Comdty,RX1.Comdty
2011/01/01,1286.12,2700.08,19.53,130.3,2953.63,5862.94,10237.92,120.796875,140.02,123.74
2011/02/01,1327.22,2782.27,18.35,129.37,3013.09,5994.01,10624.09,120.34375,139.54,124.12
2011/03/01,1325.83,2781.07,17.74,124.64,2910.91,5908.76,9755.1,119.03125,139.55,121.28
2011/04/01,1363.61,2873.54,14.75,127.45,3011.25,6069.9,9849.74,121.140625,140.05,122.92
2011/05/01,1345.2,2835.3,15.45,123.91,2861.92,5989.99,9693.73,124.03125,140.63,125.35
2011/06/01,1320.64,2773.52,16.52,122.09,2848.53,5945.71,9816.09,122.328125,141.04,125.48
2011/07/01,1292.28,2756.38,25.25,120.65,2670.37,5815.19,9833.03,125.6875,141.83,130.36
2011/08/01,1218.89,2579.46,31.62,120.01,2302.08,5394.53,8955.2,130.03125,142.41,134.56
2011/09/01,1131.42,2415.4,42.96,114.83,2179.66,5128.48,8700.29,130.09375,142.23,136.49
2011/10/01,1253.3,2684.41,29.96,120.69,2385.22,5544.22,8988.39,129.0625,142.06,135.47
2011/11/01,1246.96,2620.34,27.8,116.56,2330.43,5505.42,8434.61,130.15625,141.77,133.82
2011/12/01,1257.61,2605.15,23.4,116.21,2316.55,5572.28,8455.35,131.125,142.41,139.04
2012/01/01,1312.41,2813.84,19.44,121.96,2416.66,5681.61,8802.51,132.25,142.59,139.72
2012/02/01,1365.68,2966.89,18.43,124.59,2512.11,5871.51,9723.24,131.265625,142.73,139.89
2012/03/01,1408.47,3091.57,15.5,124.97,2477.28,5768.45,10083.56,129.484375,142.01,138.49
2012/04/01,1397.91,3046.36,17.15,119.83,2306.43,5737.78,9520.89,132.28125,143.12,141.09
2012/05/01,1310.33,2827.34,24.06,119.32,2118.94,5320.86,8542.73,134.90625,143.61,146.03
2012/06/01,1362.16,2935.05,17.08,119.09,2264.72,5571.15,9006.78,133.375,143.69,140.9
2012/07/01,1379.32,2939.52,18.93,113.99,2325.72,5635.28,8695.06,134.65625,144.01,144.57
2012/08/01,1406.58,3066.97,17.47,120.78,2440.71,5711.48,8839.91,134.75,144,144.02
2012/09/01,1440.67,3116.23,15.73,125.87,2454.26,5742.07,8870.16,133.484375,144.19,141.77
2012/10/01,1412.16,2977.23,18.6,115.04,2503.64,5782.7,8928.29,133.03125,144.25,141.68
2012/11/01,1416.18,3010.24,15.87,117.07,2575.25,5866.82,9446.01,134.125,144.86,142.79
2012/12/01,1426.19,3019.51,18.02,121.27,2635.93,5897.81,10395.18,132.78125,143.65,145.64
2013/01/01,1498.11,3142.13,14.28,121.64,2702.98,6276.88,11138.66,131.28125,144.3,141.9
2013/02/01,1514.68,3160.19,15.51,126.86,2633.55,6360.81,11559.36,132.703125,145.02,144.99
2013/03/01,1569.19,3267.52,12.7,122.93,2624.02,6411.74,12397.91,131.984375,145.46,145.49
2013/04/01,1597.57,3328.79,13.52,119.05,2712,6430.12,13860.86,133.359375,144.53,146.58
2013/05/01,1630.74,3455.91,16.3,119.51,2769.64,6583.09,13774.54,130.25,142.32,143.71
2013/06/01,1606.28,3403.25,16.86,116.53,2602.59,6215.47,13677.32,126.5625,142.7,141.52
2013/07/01,1685.73,3626.37,13.45,117.85,2768.15,6621.06,13668.32,126.4375,143.62,142.37
2013/08/01,1632.97,3589.87,17.01,117.48,2721.37,6412.93,13388.86,125.34375,144.35,140.66
2013/09/01,1681.55,3771.48,16.6,123.46,2893.15,6462.22,14455.8,126.390625,144.12,140.5
2013/10/01,1756.54,3919.71,13.75,132.33,3067.95,6731.43,14327.94,127.359375,145.07,142
2013/11/01,1805.81,4059.89,13.7,130.82,3086.64,6650.57,15661.87,126.640625,145.1,141.71
2013/12/01,1848.36,4176.59,13.72,133.63,3109,6749.09,16291.31,123.046875,143.32,139.17
2014/01/01,1782.59,4103.88,18.41,128.37,3013.96,6510.44,14914.53,125.75,144.74,143.88
2014/02/01,1859.45,4308.12,14,137.17,3149.23,6809.7,14841.07,126.109375,145.17,144.38
2014/03/01,1872.34,4198.99,13.88,123.25,3161.6,6598.37,14827.83,123.5,144.62,143.38
2014/04/01,1883.95,4114.56,13.41,124.53,3198.39,6780.03,14304.11,124.421875,144.92,144.54
2014/05/01,1923.57,4242.62,11.4,124.23,3244.6,6844.51,14632.38,126.328125,145.5,146.81
2014/06/01,1960.23,4408.18,11.57,139.35,3228.24,6743.94,15162.1,125.171875,145.65,147.01
2014/07/01,1930.67,4369.77,16.95,128.71,3115.51,6730.11,15620.77,124.609375,145.92,147.99
2014/08/01,2003.37,4580.27,11.98,127.01,3172.63,6819.75,15424.59,126.328125,146.23,151.54
2014/09/01,1972.29,4493.39,16.31,127.73,3225.93,6622.72,16173.52,124.640625,145.84,149.7
2014/10/01,2018.05,4630.74,14.03,124.75,3113.32,6546.47,16413.76,126.359375,146.53,150.91
2014/11/01,2067.56,4791.63,13.33,131.89,3250.93,6722.62,17459.85,127.65625,146.91,152.85
2014/12/01,2058.9,4736.05,19.2,133.84,3146.43,6566.09,17450.77,126.796875,147.79,155.87
2015/01/01,1994.99,4635.24,20.97,125.36,3351.44,6749.4,17674.39,130.875,148.13,159.39
2015/02/01,2104.5,4963.53,13.34,126.4,3599,6946.66,18797.94,128.421875,147.9,159.46
2015/03/01,2067.89,4900.89,15.29,120.35,3697.38,6773.04,19206.99,128.90625,147.22,158.76
2015/04/01,2085.51,4941.42,14.55,115.96,3615.59,6960.63,19520.01,128.375,147.89,156.7
2015/05/01,2107.39,5070.03,13.84,122.5,3570.78,6984.43,20563.15,128.3125,147.63,155.43
2015/06/01,2063.11,4986.87,18.23,123.88,3424.3,6520.98,20235.73,126.171875,146.97,152
2015/07/01,2103.84,5128.28,12.12,124.2,3600.69,6696.28,20585.24,127.4375,147.55,154.4
2015/08/01,1972.18,4776.51,28.43,129.36,3269.63,6247.94,18890.48,127.640625,147.96,153.09
2015/09/01,1920.03,4620.17,24.5,113.9,3100.67,6061.61,17388.15,128.734375,148.16,156.19
2015/10/01,2079.36,5053.75,15.07,125.77,3418.23,6361.09,19083.1,127.6875,148.56,157.21
2015/11/01,2080.41,5108.67,16.13,127.25,3506.45,6356.09,19747.47,127.015625,148.53,158.31
2015/12/01,2043.94,5007.41,18.21,124.43,3267.52,6242.32,19033.71,125.90625,149.04,157.92
2016/01/01,1940.24,4613.95,20.2,120.86,3045.09,6083.79,17518.3,129.578125,150.42,163.35
2016/02/01,1932.23,4557.95,20.55,117.68,2945.75,6097.09,16026.76,130.90625,152.16,166.58
2016/03/01,2059.74,4869.85,13.95,122.03,3004.93,6174.9,16758.67,130.390625,151.3,163.32
2016/04/01,2065.3,4775.36,15.7,126.49,3028.21,6241.89,16666.05,130.0625,151.49,161.88
2016/05/01,2096.96,4948.06,14.19,127.7,3063.48,6230.79,17234.98,129.796875,152.03,163.97
2016/06/01,2098.86,4842.67,15.63,140.58,2864.74,6504.33,15575.92,132.984375,152.92,167.12
2016/07/01,2173.6,5162.13,11.87,128.25,2990.76,6724.43,16569.27,133.046875,152.6,167.81
2016/08/01,2170.95,5213.22,13.42,129.25,3023.13,6781.51,16887.4,131.875,151.41,167.38
2016/09/01,2168.27,5312,13.29,124.58,3002.24,6899.33,16449.84,131.125,152.34,165.7
2016/10/01,2126.15,5189.14,17.06,126.12,3055.25,6954.22,17425.02,129.625,151.71,162.17
2016/11/01,2198.81,5323.68,13.33,126.39,3051.61,6783.79,18308.48,125.234375,150.56,161.06
2016/12/01,2238.83,5383.12,14.04,127.26,3290.52,7142.83,19114.37,124.28125,150.24,164.15
2017/01/01,2278.87,5614.79,11.99,138.08,3230.68,7099.15,19041.34,124.46875,149.88,162.13
2017/02/01,2363.64,5825.44,12.92,131.98,3319.61,7263.44,19118.99,125.109375,150.58,166.05
2017/03/01,2362.72,5911.74,12.37,138.31,3500.93,7322.92,18909.26,124.5625,150.28,161.42
2017/04/01,2384.2,6047.61,10.82,146.98,3559.59,7203.94,19196.74,125.71875,151.02,161.78
2017/05/01,2411.8,6198.52,10.41,125.11,3554.59,7519.95,19650.57,126.5625,150.67,162.32
2017/06/01,2423.41,6140.42,11.18,129.51,3441.88,7312.72,20033.43,125.53125,150.11,161.87
2017/07/01,2470.3,6348.12,10.26,139.82,3449.36,7372,19925.18,125.890625,150.16,161.95
2017/08/01,2471.65,6428.66,10.59,134,3421.47,7430.62,19646.24,127.25,151.12,165.08
2017/09/01,2519.36,6495.96,9.51,137.75,3594.85,7372.76,20356.28,125.3125,150.35,161.01
2017/10/01,2575.26,6727.67,10.18,131.81,3673.95,7493.08,22011.61,124.9375,150.47,162.75
2017/11/01,2647.58,6873.97,11.28,128.9,3569.93,7326.67,22724.96,124.3125,150.93,162.72
2017/12/01,2673.61,6903.39,11.04,137.05,3503.96,7687.77,22764.94,124.046875,150.78,161.68
2018/01/01,2823.81,7411.48,13.54,121.23,3609.29,7533.55,23098.29,121.578125,150.32,158.82
2018/02/01,2713.83,7273.01,19.85,138.95,3438.96,7231.91,22068.24,120.65625,150.93,159.44
2018/03/01,2640.87,7063.45,19.97,119.34,3361.5,7056.61,21454.3,121.140625,150.77,159.43
2018/04/01,2648.05,7066.27,15.93,130.77,3536.52,7509.3,22467.87,119.625,150.64,158.74
2018/05/01,2705.27,7442.12,15.43,140.07,3406.65,7678.2,22201.82,120.734375,150.97,162.14
2018/06/01,2718.37,7510.3,16.09,141.72,3395.6,7636.93,22304.51,120.1875,150.84,162.55
2018/07/01,2816.29,7671.79,12.83,144.49,3525.49,7748.76,22553.72,119.421875,150.69,161.58
2018/08/01,2901.52,8109.54,12.86,146.91,3392.9,7432.42,22865.15,120.390625,150.38,163.27
2018/09/01,2913.98,8046.35,12.12,144.43,3399.2,7510.2,24120.04,118.78125,150.09,158.79
2018/10/01,2711.74,7305.9,21.23,117.64,3197.51,7128.1,21920.46,118.4375,150.63,160.26
2018/11/01,2760.17,7330.54,18.07,114.71,3173.13,6980.24,22351.06,119.546875,151.17,161.54
2018/12/01,2506.85,6635.28,25.42,117.8,3001.42,6728.13,20014.77,122.015625,152.48,163.54
2019/01/01,2704.1,7281.74,16.57,126.53,3159.43,6968.85,20773.49,122.46875,152.69,165.67
2019/02/01,2784.49,7532.53,14.78,128.85,3298.26,7074.73,21385.16,121.75,152.74,165.31
2019/03/01,2834.4,7729.32,13.71,120.96,3351.71,7279.19,21205.81,124.21875,153.28,166.34
2019/04/01,2945.83,8095.39,13.12,126.47,3514.62,7418.22,22258.73,123.671875,152.73,165.31
2019/05/01,2752.06,7453.15,18.71,112.65,3280.43,7161.71,20601.19,126.375,153.2,168.34
2019/06/01,2941.76,8006.24,15.08,118.12,3473.69,7425.63,21275.92,127.96875,153.85,172.74
2019/07/01,2980.38,8175.42,16.12,121.71,3466.85,7586.78,21521.53,127.421875,153.8,175.07
2019/08/01,2926.46,7962.88,18.98,115.37,3426.76,7207.18,20704.37,131.046875,155.2,179.1
2019/09/01,2976.74,7999.34,16.24,117.67,3569.45,7408.21,21755.84,130.3125,155.02,174.25
2019/10/01,3037.56,8292.36,13.22,130.71,3604.41,7248.38,22927.04,130.296875,153.95,171.76
2019/11/01,3140.98,8665.47,12.62,129.83,3703.58,7346.53,23293.91,129.296875,153.16,171.07
2019/12/01,3230.78,8972.6,13.78,139.52,3745.15,7542.44,23656.62,128.421875,152.18,170.49
2020/01/01,3225.52,9150.94,18.84,135.73,3640.91,7286.01,23205.18,131.65625,152.86,175.04
2020/02/01,2954.22,8567.37,40.11,115.74,3329.49,6580.61,21142.96,134.84375,154.07,177.46
2020/03/01,2584.59,7700.1,53.54,125.49,2786.9,5671.96,18917.01,138.6875,152.57,172.51
2020/04/01,2912.43,8889.55,34.15,130.38,2927.93,5901.21,20193.69,139.0625,152.79,174.43
2020/05/01,3044.31,9489.87,27.51,131.72,3050.2,6076.6,21877.89,139.375,152.2,172.46
2020/06/01,3100.29,10058.77,30.43,148.27,3234.07,6169.74,22288.14,139.171875,151.95,176.52
2020/07/01,3271.12,10745.27,24.46,141.56,3174.32,5897.76,21710,140.078125,152.37,177.52
2020/08/01,3500.31,11775.46,26.41,144.67,3272.51,5963.57,23139.76,139.40625,151.59,175.56
2020/09/01,3363,11167.51,26.37,120.94,3193.61,5866.1,23185.12,139.53125,152.11,174.52
2020/10/01,3269.96,10911.59,38.02,129.01,2958.21,5577.27,22977.13,138.21875,151.88,176.15
2020/11/01,3621.63,12198.74,20.57,133.95,3492.54,6266.19,26433.62,138.53125,152.03,175.25
2020/12/01,3756.07,12888.28,22.75,147.83,3552.64,6460.52,27444.17,138.078125,151.92,177.64
2021/01/01,3714.24,13070.69,33.09,134.3,3481.44,6407.46,27663.39,137.03125,151.82,177.25
2021/02/01,3811.15,13192.35,27.95,136.23,3636.44,6483.43,28966.01,133.796875,150.62,173.4
2021/03/01,3972.89,13246.87,19.4,140.93,3919.21,6713.63,29178.8,130.9375,151.16,171.28
2021/04/01,4181.17,13962.68,18.61,146.32,3974.74,6969.81,28812.63,132.03125,151.34,170
2021/05/01,4204.11,13748.74,16.76,155.31,4039.46,7022.61,28860.08,132.859375,151.46,169.94
2021/06/01,4297.5,14503.95,15.83,161.85,4064.3,7037.47,28791.53,132.5,151.69,172.61
2021/07/01,4395.26,14672.68,18.24,153.71,4089.3,7032.3,27283.59,134.453125,152.3,176.57
2021/08/01,4522.68,15259.24,16.48,155.91,4196.41,7119.7,28089.54,134.046875,152.16,175.45
2021/09/01,4307.54,14448.58,23.14,135.55,4048.08,7086.42,29452.66,131.609375,151.37,169.82
2021/10/01,4605.38,15498.39,16.26,148.09,4250.56,7237.57,28892.69,130.703125,151.32,168.12
2021/11/01,4567,15537.69,27.19,150.55,4063.06,7059.45,27821.76,131.546875,151.94,172.37
2021/12/01,4766.18,15644.97,17.22,154.38,4298.41,7384.54,28791.71,130.46875,151.59,171.37
2022/01/01,4515.55,14239.88,24.83,131.44,4174.6,7464.37,27001.98,127.96875,150.72,169.11
2022/02/01,4373.94,13751.4,30.15,137.36,3924.23,7458.25,26526.82,127.453125,150.5,167.04
2022/03/01,4530.41,14220.52,20.56,140.73,3902.52,7515.68,27821.43,122.875,149.7,158.66
2022/04/01,4131.93,12334.64,33.4,136.69,3802.86,7544.55,26847.9,119.15625,149.62,153.59
2022/05/01,4132.15,12081.39,26.19,119.1,3789.21,7607.66,27279.8,119.84375,149.65,151.57
2022/06/01,3785.38,11028.74,28.71,119.94,3454.86,7169.28,26393.04,118.53125,148.61,148.78
2022/07/01,4130.29,12390.69,21.33,122.29,3708.1,7423.43,27801.64,121.140625,150.51,157.64
2022/08/01,3955,11816.2,25.87,119.71,3517.25,7284.15,28091.53,116.875,149.53,147.97
2022/09/01,3585.62,10575.62,31.62,123.59,3318.2,6893.81,25937.21,112.0625,148.3,138.49
2022/10/01,3871.98,10988.15,25.88,111.96,3617.54,7094.53,27587.46,110.59375,148.77,138.44
